name,address,hours,lat,lng,rating,district
Барда,"Москва, Шипиловская улица, 36, корп. 1",nan,55.620338,37.721232,4.9,Южный административный округ
МЕГА,"Москва, МКАД, 41-й километр, с1","ежедневно, 10:00–22:00",55.602653,37.489706,5.0,
Калита,"Москва, Новоясеневский проспект, вл7","ежедневно, 10:00–22:00",55.607445,37.532282,4.6,Юго-Западный административный округ
Торгсин-Маркет,"Москва, улица Паустовского, 1","ежедневно, 09:00–22:00",55.602844,37.542703,4.3,Юго-Западный административный округ
Fort,"Москва, Новоясеневский проспект, 11","ежедневно, 10:00–22:00",55.606843,37.536283,4.3,Юго-Западный административный округ
Columbus,"Москва, Кировоградская улица, 13А","ежедневно, 10:00–22:00",55.612228,37.606924,5.0,Южный административный округ
ТЦ Ясенево,"Москва, Литовский бульвар, 22","ежедневно, 10:00–22:00",55.612295,37.537608,4.3,Юго-Западный административный округ
Этажи,"Москва, Ясногорская улица, 7А","ежедневно, 10:00–22:00",55.608576,37.537053,4.2,Юго-Западный административный округ
Спектр,"Москва, Новоясеневский проспект, 1","ежедневно, 10:00–22:00",55.619427,37.509276,4.5,Юго-Западный административный округ
Фестивальный,"Москва, Голубинская улица, 28","ежедневно, 10:00–22:00",55.595136,37.541578,4.2,Юго-Западный административный округ
Кэмп,"Москва, Вильнюсская улица, 1","ежедневно, 09:00–23:00",55.606898,37.524818,4.5,Юго-Западный административный округ
Принц Плаза,"Москва, Профсоюзная улица, 129А","ежедневно, 10:00–22:00",55.618608,37.506486,4.2,Юго-Западный административный округ
Северное Сияние,"Москва, бульвар Дмитрия Донского, 1","ежедневно, 10:00–22:00",55.574945,37.580232,4.4,Юго-Западный административный округ
Галерея Атлантис,"Москва, Варшавское шоссе, 160","ежедневно, 09:00–22:00",55.582932,37.595229,4.3,Южный административный округ
Гранд Юг,"Москва, Кировоградская улица, 15","ежедневно, 10:00–22:00",55.609534,37.604999,4.3,Южный административный округ
Твин Плаза,"Москва, Новоясеневский проспект, 2А, стр. 1","ежедневно, 10:00–21:00",55.617858,37.505842,4.2,Юго-Западный административный округ
Алфавит,"Москва, Куликовская улица, 6","ежедневно, 10:00–22:00",55.574093,37.565296,4.3,Юго-Западный административный округ
Прага,"Москва, Россошанский проезд, 3","ежедневно, 10:00–21:00",55.600874,37.609244,1.1,Южный административный округ
Армада,"Москва, Кировоградская улица, 11, корп. 1","ежедневно, 10:00–22:00",55.614313,37.606922,4.3,Южный административный округ
Сомбреро,"Москва, Варшавское шоссе, 152А","ежедневно, 10:00–22:00",55.59464,37.599254,4.2,Южный административный округ
Николин парк,"Москва, поселение Сосенское, Николо-Хованская улица, 28, стр. 5","ежедневно, 10:00–22:00",55.589081,37.454259,4.4,
Славянский стан,"Москва, Калужское шоссе, 4, стр. 1","ежедневно, 08:00–23:00",55.609543,37.487679,4.2,
Аннино,"Москва, Варшавское шоссе, 141, корп. 9А","ежедневно, 09:00–23:00",55.588473,37.600671,4.4,Южный административный округ
Пражский Град,"Москва, Кировоградская улица, 24А","ежедневно, 10:00–22:00",55.611927,37.603317,4.2,Южный административный округ
Каренфор,"Москва, Кировоградская улица, 13","ежедневно, 09:00–21:00",55.613516,37.605742,4.2,Южный административный округ
